 30494|Magadi Main Road, Tavarekere Post, Tavarekere Hobli, Bangalore|Honaganahatti|562130|Near Basavanna Temple|Near Maramma Temple|Green & White Colour Building|Brown Colour Door|242 A, 242 B, 242 Z|21231|21232|
 30496|Tavarekere To Nelamangala Main Road, Tavarekere Post, Tavarekere Hobli, Bangalore|Varthuru|562130|Near G.K.L.P.S Varthuru & Beside Varthuru Milk Dairy|Near Varthuru Bus Stop|White Colour Building|Blue Colour Shutter Door|242 T, 242 L, 242 TC, 374|21250|21251|
 30491|Tavarekere To Kengeri Road, Tavarekere Post, Tavarekere Hobli, Bangalore|Yalachaguppe|562130|Infront Yalachaguppe Bus Stop|Opposite G.K.L.P.S Yalachaguppe|Green Colour Building & Brown Colour Door|Sheet Building|242 FB|21227|21228|
 30594|Rangappa Block, Satyam Temple|D.J.Halli|560045|Near D.J.Halli Market|Near Fish Market|||290, 291|20172|20173|
 34081|Singanayakanhalli Post, Yelanka Hobli|Kenchenahalli|560064|Behind G.K.L.P.S Kenchenahalli|Kenchenahalli Railway Gate, Muneshwara Temle|Cream Colour Comound, No Playground|Cream Colour Building|285 A-Z|10293|10294|
 34053|Kakol Post, Hesaraghatta Hobli|Dibbur|560089|Behind G.K.H.P.S|Near Bus Stop|Cream Colour Building|No Compound, No Playground|285 X|10154|10155|
 34048|kakollu post hesaraghatta Hobli|kakolu|560089|GKHPS back side|kakolu Ashwath katte|Coconet tree whitecolour compound|play ground|285L. 406. 409|10249|10250|
 33895|Rajankunte Post, Yelahanka Hobli|Muddinahalli|560064|G.K.L.P.S Muddinahalli In Side|Right Side Muddinahalli Bus Stop|Cream Colour Compound & No Play Ground|Cream Colour Building|285 A|10276|10277|
 33844|Dodda Tumkur Post|Nellukunte|562103|Opposite Nellukunte Bus Stop Road||White Colour Compound & No Play Ground||285 C|10195|10196|
 33878|Singanayakana Halli, Yelahanka Post|Harohalli|560064|Beside Harohalli Bus Stop||G.K.L.P.S Harohalli In Side & Cream Colour Building|Cream Colour Compound & Small Ground||10285|10286|
